"영역","#","누락 기능","왜 필요한가 (짝꿍 관계)","심각도","상태","메모"
"A. 인증·계정","A-1","로그인/셋업 화면 뒤로가기·취소 동선","unauthed·needs_company 화면에 로고 클릭만 있고 명시적 뒤로/취소 없음","중간","",""
"A. 인증·계정","A-2","회사 설정 단계 로그아웃·계정 전환","잘못된 구글 계정으로 들어오면 계정 전환 불가. signOut은 대시보드 진입 후에만","높음","",""
"A. 인증·계정","A-3","회원탈퇴 / 계정 삭제","가입만 되고 탈퇴 경로 전무. 연결해제·데이터삭제 불가 (개인정보)","높음","",""
"A. 인증·계정","A-4","내 프로필 수정 (담당자명 등)","가입 시 입력한 full_name 이후 변경 불가","낮음","",""
"A. 인증·계정","A-5","OAuth 실패/취소 시 피드백","구글 로그인 취소·콜백 에러 시 안내 동선 확인 필요","검증필요","",""
"B. 회사·멤버","B-1","회사 설정 페이지 (회사명·로고·도메인)","가입 시 1회 입력 후 고정. 수정 화면 없음","중간","",""
"B. 회사·멤버","B-2","회사 단위 멤버 목록·관리","멤버 제외는 공고별 면접관만. 회사 전체 멤버 관리 불가","중간","",""
"B. 회사·멤버","B-3","도메인 자동합류 승인 게이트","같은 도메인이면 누구나 admin 자동합류 — 권한·보안 리스크","높음","",""
"C. 공고 작성·관리","C-1","임시저장 (draft)","게재하기 한 번에 pending_review. 작성 중 저장 불가","중간","",""
"C. 공고 작성·관리","C-2","공고 마감(closed) 버튼","closed 상태는 있는데 마감 UI 없음 (일시중지/삭제만)","중간","",""
"C. 공고 작성·관리","C-3","삭제=하드삭제 / 지원자 연쇄","job_applications FK ON DELETE 동작 확인 필요 (후보 데이터 유실 위험)","검증필요","",""
"C. 공고 작성·관리","C-4","마감일 자동 마감","deadline 입력받지만 지나도 자동 안 닫힘","낮음","",""
"C. 공고 작성·관리","C-5","채용 인원 충원 추적","headcount 입력받지만 합격 연동·마감 없음","낮음","",""
"C. 공고 작성·관리","C-6","후보가 보는 전체 공고 미리보기","미니 카드만. 실제 상세 페이지 형태로 못 봄","낮음","",""
"D. 후보 처리(칸반 외)","D-1","합격/불합격 결과 구분","decided가 합격/불합격 불명확. reject 템플릿은 있는데 불합격 상태/액션 없음 (칸반 재설계와 겹침)","중간","",""
"D. 후보 처리(칸반 외)","D-2","불합격/종료 후보 보관(archive)","탈락 후보 정리·숨김 방법 없음","낮음","",""
"E. 메일","E-1","발송 메일 이력 화면","recruiter_mail_log에 기록·조회RLS는 있는데 볼 UI 없음","중간","",""
"E. 메일","E-2","면접 일정 → 후보 자동 안내","InterviewModal은 일정만 저장, 메일과 분리. 후보가 모름","높음","",""
"E. 메일","E-3","발송 실패/반송 상태 노출","status(sent/failed) 저장되나 화면에 표시 안 됨","낮음","",""
"F. 면접·캘린더","F-1","면접 취소/삭제","interview_at 비우는 경로 없음. 수정만 되고 취소 불가","중간","",""
"F. 면접·캘린더","F-2","캘린더에서 후보 이동/일정 조작","캘린더 읽기전용. 클릭해도 후보로 못 가고 수정·취소 불가","중간","",""
"F. 면접·캘린더","F-3","면접 리마인더","면접 전 후보/면접관 알림 없음","낮음","",""
"G. 채용팀 권한","G-1","역할 변경 (권한 부여/회수)","팀원 전원 interviewer 고정. 관리자 권한 부여/회수 불가","중간","",""
"G. 채용팀 권한","G-2","오너 이전(transfer)","오너 퇴사·제외 시 재지정 불가 → 팀 관리 불능","높음","",""
"G. 채용팀 권한","G-3","본인이 팀 나가기","면접관이 스스로 빠지는 경로 없음 (오너만 제외)","낮음","",""
"G. 채용팀 권한","G-4","초대 재발송","메일 못 받으면 다시 보내기 없음 (취소 후 재초대만)","낮음","",""
"G. 채용팀 권한","G-5","제외된 면접관 잔존 접근 차단","job_team에서 빠진 사람 직접 URL 접근 차단(RLS) 확인 필요","검증필요","",""
"H. 네비·공통 UX","H-1","사이드바 설정/계정 메뉴","대시보드·새공고·면접일정만. 설정·계정 진입점 없음","중간","",""
"H. 네비·공통 UX","H-2","에러 화면 복구 동선","'접근 불가' 등에서 재시도 없이 이동 링크만","낮음","",""
